bath,balcony,price,total_sqft_int,bhk,price_per_sqft,area_type,Availability,location
3,3,223,1718,3,12980.20955,Super built-up  Area,Ready To Move,Whitefield
2,1,97,1000,2,9700,Built-up  Area,Ready To Move,Whitefield
4,2,200,2800,5,7142.857143,Super built-up  Area,Ready To Move,Whitefield
1,1,55,1000,2,5500,Super built-up  Area,Ready To Move,Whitefield
2,2,78,1040,2,7500,Built-up  Area,Ready To Move,Whitefield
2,1,42.5,850,2,5000,Super built-up  Area,Ready To Move,Whitefield
2,1,50.75,1450,3,3500,Super built-up  Area,Ready To Move,Whitefield
2,1,40.25,1150,2,3500,Super built-up  Area,Ready To Move,Whitefield
2,2,47.25,1350,3,3500,Super built-up  Area,Ready To Move,Whitefield
2,2,47.25,1350,3,3500,Super built-up  Area,Ready To Move,Whitefield
2,2,41,900,2,4555.555556,Super built-up  Area,Ready To Move,Whitefield
3,3,69,1681,3,4104.699584,Super built-up  Area,Ready To Move,Whitefield
2,2,47.25,1350,3,3500,Super built-up  Area,Ready To Move,Whitefield
2,1,40.25,1150,2,3500,Super built-up  Area,Ready To Move,Whitefield
4,2,220,1500,4,14666.66667,Plot  Area,Ready To Move,Whitefield
3,2,230,1500,4,15333.33333,Plot  Area,Ready To Move,Whitefield
4,1,325,2400,5,13541.66667,Plot  Area,Ready To Move,Whitefield
2,1,80,1056,2,7575.757576,Super built-up  Area,Ready To Move,Whitefield
2,3,90,1320,2,6818.181818,Built-up  Area,Ready To Move,Whitefield
2,3,95,1300,2,7307.692308,Built-up  Area,Ready To Move,Whitefield
3,2,140,1650,3,8484.848485,Built-up  Area,Ready To Move,Whitefield
3,3,240,2150,3,11162.7907,Built-up  Area,Ready To Move,Whitefield
3,1,270,2100,3,12857.14286,Super built-up  Area,Ready To Move,Whitefield
4,3,345,4500,4,7666.666667,Built-up  Area,Ready To Move,Whitefield
3,2,240,2005,3,11970.07481,Super built-up  Area,Ready To Move,Whitefield
2,0,190,1567.2,3,12123.53241,Super built-up  Area,Ready To Move,Whitefield
2,2,150,1225,2,12244.89796,Super built-up  Area,Ready To Move,Whitefield
9,1.584375738,500,4500,9,11111.11111,Super built-up  Area,Ready To Move,Whitefield
3,3,140,1800,3,7777.777778,Built-up  Area,Ready To Move,Whitefield
2,2,97,1269,2,7643.814027,Super built-up  Area,Ready To Move,Whitefield
2,2,38.9,1070,2,3635.514019,Super built-up  Area,Ready To Move,Whitefield
2,2,38,1080,2,3518.518519,Super built-up  Area,Ready To Move,Whitefield
3,2,185,2401,3,7705.122865,Super built-up  Area,Ready To Move,Whitefield
4,1.584375738,333,3900,4,8538.461538,Built-up  Area,Ready To Move,Whitefield
4,1,120,1550,4,7741.935484,Built-up  Area,Ready To Move,Whitefield
3,3,220,2100,3,10476.19048,Super built-up  Area,Ready To Move,Whitefield
3,2,185,2400,3,7708.333333,Super built-up  Area,Ready To Move,Whitefield
2,2,56,1206,2,4643.44942,Super built-up  Area,Ready To Move,Whitefield
2,2,70,1270,3,5511.811024,Super built-up  Area,Ready To Move,Whitefield
2,3,69,1312,2,5259.146341,Super built-up  Area,Ready To Move,Whitefield
2,2,48,1100,2,4363.636364,Super built-up  Area,Ready To Move,Whitefield
2,2,60,1075,2,5581.395349,Super built-up  Area,Ready To Move,5th Phase JP Nagar
3,3,52.5,1150,2,4565.217391,Built-up  Area,Ready To Move,5th Phase JP Nagar
2,1,62.8,1256,2,5000,Built-up  Area,Ready To Move,5th Phase JP Nagar
2,2,63,1207,2,5219.55261,Super built-up  Area,Ready To Move,5th Phase JP Nagar
2,2,100,1725,3,5797.101449,Built-up  Area,Ready To Move,5th Phase JP Nagar
2,2,60,1440,2,4166.666667,Super built-up  Area,Ready To Move,5th Phase JP Nagar
2,3,100,1700,3,5882.352941,Built-up  Area,Ready To Move,5th Phase JP Nagar
5,1.584375738,110,2500,5,4400,Super built-up  Area,Ready To Move,5th Phase JP Nagar
1,1,30,600,1,5000,Built-up  Area,Ready To Move,5th Phase JP Nagar
2,2,65,1390,2,4676.258993,Super built-up  Area,Ready To Move,5th Phase JP Nagar
2,1,62.8,1256,2,5000,Built-up  Area,Ready To Move,5th Phase JP Nagar
2,0,48,1000,2,4800,Super built-up  Area,Ready To Move,5th Phase JP Nagar
2,1,75,1350,3,5555.555556,Super built-up  Area,Ready To Move,5th Phase JP Nagar
1,1,23.5,552,1,4257.246377,Super built-up  Area,Ready To Move,5th Phase JP Nagar
2,2,51,1200,2,4250,Super built-up  Area,Ready To Move,5th Phase JP Nagar
2,2,57,1030,2,5533.980583,Built-up  Area,Ready To Move,5th Phase JP Nagar
2,1,68,1200,2,5666.666667,Super built-up  Area,Ready To Move,5th Phase JP Nagar
2,2,61.8,1190,2,5193.277311,Built-up  Area,Ready To Move,5th Phase JP Nagar
5,2,170,4000,5,4250,Super built-up  Area,Ready To Move,5th Phase JP Nagar
2,1,53,1080,2,4907.407407,Super built-up  Area,Ready To Move,5th Phase JP Nagar
2,2,54,1041,2,5187.319885,Super built-up  Area,Ready To Move,5th Phase JP Nagar
2,1,42,812,2,5172.413793,Super built-up  Area,Ready To Move,5th Phase JP Nagar
2,2,57,1010,2,5643.564356,Built-up  Area,Ready To Move,5th Phase JP Nagar
2,2,60,1075,2,5581.395349,Super built-up  Area,Ready To Move,5th Phase JP Nagar
2,2,74,1192,2,6208.053691,Super built-up  Area,Ready To Move,Whitefield
2,3,80,1180,2,6779.661017,Super built-up  Area,Ready To Move,Whitefield
4,1.584375738,250,3245,4,7704.160247,Super built-up  Area,Ready To Move,Whitefield
3,3,100,1645,3,6079.027356,Built-up  Area,Ready To Move,Whitefield
2,2,65,1140,2,5701.754386,Built-up  Area,Ready To Move,Whitefield
3,1.584375738,200,2040,3,9803.921569,Super built-up  Area,Ready To Move,Whitefield
2,1,63,1213,2,5193.734542,Super built-up  Area,Ready To Move,Whitefield
2,2,60,1216,2,4934.210526,Built-up  Area,Ready To Move,Whitefield
2,1.584375738,80,1460,2,5479.452055,Super built-up  Area,Ready To Move,Whitefield
3,3,200,2003,3,9985.022466,Super built-up  Area,Ready To Move,Whitefield
3,3,131,1810,3,7237.569061,Super built-up  Area,Ready To Move,Whitefield
2,2,135,1515,3,8910.891089,Super built-up  Area,Ready To Move,Whitefield
2,3,75,1192,2,6291.946309,Super built-up  Area,Ready To Move,Whitefield
2,1,88,1280,2,6875,Super built-up  Area,Ready To Move,Whitefield
2,1,110,1117,2,9847.806625,Built-up  Area,Ready To Move,Whitefield
3,2,400,3000,3,13333.33333,Super built-up  Area,Ready To Move,Whitefield
3,1,528,3000,5,17600,Built-up  Area,Ready To Move,Whitefield
3,0,408,2400,3,17000,Plot  Area,Ready To Move,Whitefield
2,1,293,1903,3,15396.74199,Built-up  Area,Ready To Move,Whitefield
2,2,72,1080,2,6666.666667,Built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,93,1270,2,7322.834646,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,100,1420,3,7042.253521,Built-up  Area,Ready To Move,7th Phase JP Nagar
3,1,150,1850,3,8108.108108,Built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,94,1245,2,7550.200803,Built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,82,1175,2,6978.723404,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,95,1400,3,6785.714286,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,1,160,2225,3,7191.011236,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,71,1050,2,6761.904762,Built-up  Area,Ready To Move,7th Phase JP Nagar
2,0,46,1100,2,4181.818182,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,50.49,918,2,5500,Built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,100,1450,3,6896.551724,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,49.98,1190,2,4200,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,96,1420,3,6760.56338,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,2,120,1680,3,7142.857143,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,69,980,2,7040.816327,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,72,1180,2,6101.694915,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,1,115,1400,3,8214.285714,Built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,83,1270,2,6535.433071,Super built-up  Area,Ready To Move,7th Phase JP Nagar
4,0,188,2503,4,7510.986816,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,2,190,2200,3,8636.363636,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,110,1575,3,6984.126984,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,2,140,1850,3,7567.567568,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,120,1575,3,7619.047619,Built-up  Area,Ready To Move,7th Phase JP Nagar
3,2,150,1850,3,8108.108108,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,2,120,1680,3,7142.857143,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,82.5,1175,2,7021.276596,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,90,1215,2,7407.407407,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,75,1050,2,7142.857143,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,2,89.13,1300,3,6856.153846,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,73,1130,2,6460.176991,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,2,100,1450,3,6896.551724,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,50,1050,2,4761.904762,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,87,1275,2,6823.529412,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,2,110,1650,3,6666.666667,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,42,850,2,4941.176471,Built-up  Area,Ready To Move,7th Phase JP Nagar
3,2,117,1680,3,6964.285714,Built-up  Area,Ready To Move,7th Phase JP Nagar
3,1,150,1850,3,8108.108108,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,61.33,1236,2,4961.97411,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,53,1000,2,5300,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,2,125,1680,3,7440.47619,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,135,1675,3,8059.701493,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,59,1187,2,4970.513901,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,2,155,1850,3,8378.378378,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,61,1000,2,6100,Built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,100,1460,3,6849.315068,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,3,110,1650,3,6666.666667,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,62.5,1200,2,5208.333333,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,70.65,1000,2,7065,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,75,1080,2,6944.444444,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,3,125,1680,3,7440.47619,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,97,1460,3,6643.835616,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,65,1120,2,5803.571429,Built-up  Area,Ready To Move,7th Phase JP Nagar
3,1,60,1100,2,5454.545455,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,3,120,1790,3,6703.910615,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,2,117,1680,3,6964.285714,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,77,1050,2,7333.333333,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,75,1050,2,7142.857143,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,75,1040,2,7211.538462,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,95,1400,3,6785.714286,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,2,130,1800,3,7222.222222,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,0,68,1050,2,6476.190476,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,60,1000,2,6000,Built-up  Area,Ready To Move,7th Phase JP Nagar
3,2,125,1680,3,7440.47619,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,77.47,1050,2,7378.095238,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,80,1270,2,6299.212598,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,2,122,1680,3,7261.904762,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,85,1130,2,7522.123894,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,3,130,1680,3,7738.095238,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,77.44,980,2,7902.040816,Built-up  Area,Ready To Move,7th Phase JP Nagar
3,2,112,1680,3,6666.666667,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,2,150,2095,3,7159.904535,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,1,145,1976,3,7338.05668,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,110,1600,3,6875,Super built-up  Area,Ready To Move,7th Phase JP Nagar
3,2,118,1765,3,6685.552408,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,88,1275,3,6901.960784,Built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,102,1450,3,7034.482759,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,110,1575,3,6984.126984,Super built-up  Area,Ready To Move,7th Phase JP Nagar
1,2,47,750,1,6266.666667,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,50,990,2,5050.505051,Super built-up  Area,Ready To Move,7th Phase JP Nagar
1,1,60,1000,1,6000,Plot  Area,Ready To Move,7th Phase JP Nagar
2,1,102,1430,3,7132.867133,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,60,1128,2,5319.148936,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,57,1140,2,5000,Built-up  Area,Ready To Move,7th Phase JP Nagar
3,2,90,1420,3,6338.028169,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,1,108,1530,2,7058.823529,Super built-up  Area,Ready To Move,7th Phase JP Nagar
2,2,110,1100,2,10000,Super built-up  Area,Ready To Move,Whitefield
2,0,54.005,1073.5,2,5030.740568,Super built-up  Area,Ready To Move,8th Phase JP Nagar
2,1,42.47,1062,2,3999.05838,Super built-up  Area,Ready To Move,8th Phase JP Nagar
3,2,73.31,1455,3,5038.487973,Super built-up  Area,Ready To Move,8th Phase JP Nagar
2,1,43.91,1098,2,3999.089253,Super built-up  Area,Ready To Move,8th Phase JP Nagar
3,1,80,1800,3,4444.444444,Super built-up  Area,Ready To Move,8th Phase JP Nagar
4,2,130,2700,4,4814.814815,Built-up  Area,Ready To Move,8th Phase JP Nagar
2,2,38,1080,2,3518.518519,Super built-up  Area,Ready To Move,8th Phase JP Nagar
2,2,34.5,1059,2,3257.790368,Super built-up  Area,Ready To Move,8th Phase JP Nagar
2,2,35,1080,2,3240.740741,Super built-up  Area,Ready To Move,8th Phase JP Nagar
2,1,42.47,1062,2,3999.05838,Super built-up  Area,Ready To Move,8th Phase JP Nagar
1,1,31,500,1,6200,Super built-up  Area,Ready To Move,8th Phase JP Nagar
2,2,35,1100,2,3181.818182,Super built-up  Area,Ready To Move,8th Phase JP Nagar
4,3,92,2100,4,4380.952381,Super built-up  Area,Ready To Move,8th Phase JP Nagar
2,1,39.33,1035,2,3800,Super built-up  Area,Ready To Move,8th Phase JP Nagar
2,1,40.9,909,2,4499.449945,Super built-up  Area,Ready To Move,8th Phase JP Nagar
3,0,72.02,1431.5,3,5031.086273,Super built-up  Area,Ready To Move,8th Phase JP Nagar
4,1,90,1900,3,4736.842105,Built-up  Area,Ready To Move,8th Phase JP Nagar
1,1,30,500,1,6000,Super built-up  Area,Ready To Move,8th Phase JP Nagar
2,2,36.94,1125,2,3283.555556,Super built-up  Area,Ready To Move,8th Phase JP Nagar
2,3,35,1100,2,3181.818182,Super built-up  Area,Ready To Move,8th Phase JP Nagar
2,1,43.55,1089,2,3999.081726,Super built-up  Area,Ready To Move,8th Phase JP Nagar
2,2,65,1605,3,4049.844237,Super built-up  Area,Ready To Move,8th Phase JP Nagar
2,2,83,1504,3,5518.617021,Super built-up  Area,Ready To Move,8th Phase JP Nagar
4,2,115,2600,4,4423.076923,Built-up  Area,Ready To Move,8th Phase JP Nagar
2,1,43.55,1089,2,3999.081726,Super built-up  Area,Ready To Move,8th Phase JP Nagar
2,3,62,1513,2,4097.818903,Super built-up  Area,Ready To Move,8th Phase JP Nagar
2,1,59,1298,2,4545.454545,Built-up  Area,Ready To Move,8th Phase JP Nagar
2,0,44,1006,2,4373.757455,Built-up  Area,Ready To Move,8th Phase JP Nagar
2,1,59,1245,2,4738.955823,Super built-up  Area,Ready To Move,8th Phase JP Nagar
2,3,80,1510,2,5298.013245,Super built-up  Area,Ready To Move,8th Phase JP Nagar
3,2,165,3300,3,5000,Super built-up  Area,Ready To Move,8th Phase JP Nagar
2,1,48,1046,2,4588.910134,Super built-up  Area,Ready To Move,8th Phase JP Nagar
3,2,80,1408,3,5681.818182,Super built-up  Area,Ready To Move,8th Phase JP Nagar
3,2,300,1846,3,16251.35428,Plot  Area,Ready To Move,Whitefield
1,0,233,1410,2,16524.8227,Plot  Area,Ready To Move,Whitefield
2,1,135,1165,2,11587.98283,Super built-up  Area,Ready To Move,Whitefield
3,2,290,2400,3,12083.33333,Plot  Area,Ready To Move,Whitefield
1,0,150,700,1,21428.57143,Plot  Area,Ready To Move,Whitefield
4,1,240,1440,4,16666.66667,Plot  Area,Ready To Move,Whitefield
2,1,50,1005,2,4975.124378,Super built-up  Area,Ready To Move,Whitefield
2,1,45,1035,2,4347.826087,Built-up  Area,Ready To Move,Whitefield
4,3,290,5000,4,5800,Built-up  Area,Ready To Move,Whitefield
2,1,56,1164,2,4810.996564,Built-up  Area,Ready To Move,Whitefield
2,1,42,1005,2,4179.104478,Super built-up  Area,Ready To Move,Whitefield
2,1,50,1127,2,4436.557232,Super built-up  Area,Ready To Move,Whitefield
2,1,43,1005,2,4278.606965,Super built-up  Area,Ready To Move,Whitefield
2,0,37,835,2,4431.137725,Built-up  Area,Ready To Move,Whitefield
2,2,39,1050,2,3714.285714,Super built-up  Area,Ready To Move,Whitefield
2,2,71,1466,2,4843.110505,Super built-up  Area,Ready To Move,Whitefield
2,1.584375738,93,1890,3,4920.634921,Built-up  Area,Ready To Move,Whitefield
2,1,60,1079,2,5560.704356,Super built-up  Area,Ready To Move,Whitefield
2,1,80,1480,2,5405.405405,Super built-up  Area,Ready To Move,Whitefield
2,1,52.36,1073,2,4879.776328,Super built-up  Area,Ready To Move,Whitefield
2,2,88,1719.3,3,5118.362124,Super built-up  Area,Ready To Move,Whitefield
3,2,88,1780,3,4943.820225,Super built-up  Area,Ready To Move,Whitefield
2,2,45,890,2,5056.179775,Built-up  Area,Ready To Move,Whitefield
2,2,69,1331.95,2,5180.374639,Super built-up  Area,Ready To Move,Whitefield
2,1,35,600,1,5833.333333,Super built-up  Area,Ready To Move,Whitefield
2,0,85,1500,1,5666.666667,Plot  Area,Ready To Move,Whitefield
2,3,45,1100,2,4090.909091,Super built-up  Area,Ready To Move,Whitefield
2,1,42,1028,2,4085.603113,Super built-up  Area,Ready To Move,Whitefield
2,2,65,1199,2,5421.18432,Super built-up  Area,Ready To Move,Whitefield
2,2,55,1080,2,5092.592593,Super built-up  Area,Ready To Move,Whitefield
2,2,64,1123,2,5699.020481,Super built-up  Area,Ready To Move,Whitefield
2,1,60,1308,2,4587.155963,Super built-up  Area,Ready To Move,Whitefield
2,1,55,1005,2,5472.636816,Super built-up  Area,Ready To Move,Whitefield
2,2,85,1450,3,5862.068966,Built-up  Area,Ready To Move,Whitefield
2,1,46.79,1040,2,4499.038462,Super built-up  Area,Ready To Move,Whitefield
3,0,110,1936,3,5681.818182,Plot  Area,Ready To Move,Whitefield
2,1,48.38,1075,2,4500.465116,Super built-up  Area,Ready To Move,Whitefield
2,2,80,1650,3,4848.484848,Built-up  Area,Ready To Move,Whitefield
2,3,50,1310,3,3816.793893,Super built-up  Area,Ready To Move,Whitefield
2,1,38.45,1100,2,3495.454545,Super built-up  Area,Ready To Move,Whitefield
2,1,38.49,1100,2,3499.090909,Super built-up  Area,Ready To Move,Whitefield
2,2,41,1190,2,3445.378151,Super built-up  Area,Ready To Move,Whitefield
2,2,38.5,1100,2,3500,Super built-up  Area,Ready To Move,Whitefield
2,1,40.39,985,2,4100.507614,Super built-up  Area,Ready To Move,Whitefield
2,2,30,765,1,3921.568627,Super built-up  Area,Ready To Move,Whitefield
2,1,35,880,2,3977.272727,Super built-up  Area,Ready To Move,Whitefield
2,1,32.54,795,2,4093.081761,Super built-up  Area,Ready To Move,Whitefield
2,1,39.59,1005,2,3939.303483,Super built-up  Area,Ready To Move,Whitefield
2,1,41.82,1020,2,4100,Super built-up  Area,Ready To Move,Whitefield
2,1,40.39,985,2,4100.507614,Super built-up  Area,Ready To Move,Whitefield
6,0,81,2500,6,3240,Built-up  Area,Ready To Move,Whitefield
2,1,32.54,795,2,4093.081761,Super built-up  Area,Ready To Move,Whitefield
2,1,46.33,1130,2,4100,Super built-up  Area,Ready To Move,Whitefield
1,1,32.6,795,2,4100.628931,Super built-up  Area,Ready To Move,Whitefield
2,1,38.92,985,2,3951.269036,Super built-up  Area,Ready To Move,Whitefield
2,1,41,1000,2,4100,Super built-up  Area,Ready To Move,Whitefield
2,1,40.8,995,2,4100.502513,Super built-up  Area,Ready To Move,Whitefield
2,1,40.8,1020,2,4000,Super built-up  Area,Ready To Move,Whitefield
1,0,72,800,1,9000,Built-up  Area,Ready To Move,Whitefield
1,0,120,1350,3,8888.888889,Plot  Area,Ready To Move,Whitefield
3,1,113,2250,3,5022.222222,Super built-up  Area,Ready To Move,Whitefield
2,0,51,1053,2,4843.304843,Built-up  Area,Ready To Move,Whitefield
2,3,57,1388,2,4106.628242,Super built-up  Area,Ready To Move,Akshaya Nagar
2,1,54,1070,2,5046.728972,Super built-up  Area,Ready To Move,Akshaya Nagar
2,1.584375738,58,1280,2,4531.25,Built-up  Area,Ready To Move,Akshaya Nagar
3,3,85.1,1662,3,5120.336943,Built-up  Area,Ready To Move,Akshaya Nagar
3,2,120,1897,3,6325.777543,Super built-up  Area,Ready To Move,Akshaya Nagar
2,2,75,1410,3,5319.148936,Super built-up  Area,Ready To Move,Akshaya Nagar
2,2,85,1360,3,6250,Super built-up  Area,Ready To Move,Akshaya Nagar
2,2,80,1410,3,5673.758865,Super built-up  Area,Ready To Move,Akshaya Nagar
3,2,85,1662,3,5114.320096,Built-up  Area,Ready To Move,Akshaya Nagar
3,2,85.5,1662,3,5144.404332,Built-up  Area,Ready To Move,Akshaya Nagar
2,1,60,1280,2,4687.5,Built-up  Area,Ready To Move,Akshaya Nagar
